@id	name	short_name	old_name	date_started	population:pupils:2012	population:pupils:2015	isced:level	addr:region	addr:province	addr:town	addr:city	addr:borough	addr:housenumber	addr:street	addr:street:corner	addr:neighbourhood	addr:village	addr:hamlet	operator	latitude	longitude	hrslph100m	priority
254001	Bidcanon Primary School			2002	28	9	1	Autonomous Region in Muslim Mindanao	Basilan		Lamitan						Bidcanon		Lamitan West II District of Lamitan City Schools Division, Department of Education	6.660228	122.047577	true	medium
133000	Hilltop Elementary School			2002	156	174	1	Autonomous Region in Muslim Mindanao	Basilan		Lamitan								Lamitan Central District of Lamitan City Schools Division, Department of Education	6.608515	122.111717	true	medium
133004	Manawit Primary School			2002	21	15	1	Autonomous Region in Muslim Mindanao	Basilan		Lamitan								Lamitan Central District of Lamitan City Schools Division, Department of Education	6.609756	122.106148	true	medium
215006	P. Burgos Primary School			2002	99	121	1	Autonomous Region in Muslim Mindanao	Basilan		Lamitan								Lamitan South District of Lamitan City Schools Division, Department of Education	6.637489	122.159729	true	medium
133041	Pamucalin Elementary School			2002	200	179	1	Autonomous Region in Muslim Mindanao	Basilan	Lantawan							Pamucalin		Lantawan District of Basilan Schools Division, Department of Education	6.593674	121.894684	true	medium
133052	Calang Elementary School			2002	397	370	1	Autonomous Region in Muslim Mindanao	Basilan	Maluso							Calang Canas		Maluso East District of Basilan Schools Division, Department of Education	6.459806	121.913193	true	medium
215005	Panglima Ladjamatli Tammang Primary School			2008	113	185	1	Autonomous Region in Muslim Mindanao	Basilan	Maluso									Maluso East District of Basilan Schools Division, Department of Education	6.494588	121.93116	false	medium
133089	Pisak-pisak Elementary School			2002	205	189	1	Autonomous Region in Muslim Mindanao	Basilan	Sumisip									Sumisip South District of Basilan Schools Division, Department of Education	6.330403	122.018875	true	medium
133102	Irelley Elementary School			2002	312	358	1	Autonomous Region in Muslim Mindanao	Basilan	Sumisip									Sumisip North District of Basilan Schools Division, Department of Education	6.425699	122.007454	true	medium
133109	Pamatsaken Primary School			2002	134	98	1	Autonomous Region in Muslim Mindanao	Basilan	Sumisip									Sumisip North District of Basilan Schools Division, Department of Education	6.442538	121.981682	false	medium
133123	Manaul Primary School			2008	399	396	1	Autonomous Region in Muslim Mindanao	Basilan	Sumisip									Sumisip East District of Basilan Schools Division, Department of Education	6.450188	122.044037	true	medium
133163	Danapah Elementary School			2002	187	201	1	Autonomous Region in Muslim Mindanao	Basilan	Tipo-tipo							Albarka		Tipo-Tipo West District of Basilan Schools Division, Department of Education	6.491668	122.140846	true	medium
133159	Bohepiang Primary School			2002	241	202	1	Autonomous Region in Muslim Mindanao	Basilan	Tipo-tipo									Tipo-Tipo West District of Basilan Schools Division, Department of Education	6.449537	122.131554	false	medium
133168	Kuhon Lennuh Elementary School			2002	271	309	1	Autonomous Region in Muslim Mindanao	Basilan	Tipo-tipo									Tipo-Tipo West District of Basilan Schools Division, Department of Education	8.668385	125.46159	false	medium
133172	Matata Primary School			2008	171	62	1	Autonomous Region in Muslim Mindanao	Basilan	Tipo-tipo									Tipo-Tipo West District of Basilan Schools Division, Department of Education	6.446957	122.142212	true	medium
133180	Basakan Primary School			2002	328		1	Autonomous Region in Muslim Mindanao	Basilan	Tuburan									Tuburan District of Basilan Schools Division, Department of Education	6.593775	122.224052	false	medium
133188	Candiis Elementary School			2002	465	469	1	Autonomous Region in Muslim Mindanao	Basilan	Tuburan									Tuburan District of Basilan Schools Division, Department of Education	6.595326	122.219299	true	medium
133193	Lakandula Elementary School			2008	134	102	1	Autonomous Region in Muslim Mindanao	Basilan	Tuburan									Tuburan District of Basilan Schools Division, Department of Education	6.602344	122.232918	false	medium
134952	Basak Elementary School			1961	657	516	1	Autonomous Region in Muslim Mindanao	Lanao del Sur		Marawi						Basak Malutlut		West District Marawi City Schools Division, Department of Education	8.002569	124.272349	true	medium
134935	Amil Bahar Primary School			1945	182	75	1	Autonomous Region in Muslim Mindanao	Lanao del Sur		Marawi						Buadi Sacayo		North District Marawi City Schools Division, Department of Education	8.000906	124.287884	true	medium
134943	Natangcopan Elementary School			1976	387	320	1	Autonomous Region in Muslim Mindanao	Lanao del Sur		Marawi						Lilod Saduc		Northwest District Marawi City Schools Division, Department of Education	8.007504	124.291717	true	medium
133262	Dansalan Primary School			1962	91	259	1	Autonomous Region in Muslim Mindanao	Lanao del Sur	Buadiposo-Buntong							Catogonan		Buadipuso-Buntong District of Lanao del Sur - IB Schools Division, Department of Education	7.796888	124.316904	true	medium
304962	Amai Manabilang National High School			2001	576	350	2-3	Autonomous Region in Muslim Mindanao	Lanao del Sur	Bumbaran									Bumbaran District of Lanao del Sur - IA Schools Division, Department of Education	7.745292	124.663528	false	medium
133313	Lumbac Lolong Primary School			2002	129	111	1	Autonomous Region in Muslim Mindanao	Lanao del Sur	Lumba-Bayabao									Lumba-Bayabao II District of Lanao del Sur - IA Schools Division, Department of Education	7.869047	124.364693	true	medium
133445	Tambo Elementary School			1903	587	380	1	Autonomous Region in Muslim Mindanao	Lanao del Sur	Piagapo							Tambo Poblacion		Piagapo West District of Lanao del Sur - IB Schools Division, Department of Education	13.94361	121.134723	true	medium
133431	Bualan Elementary School			1968	559	320	1	Autonomous Region in Muslim Mindanao	Lanao del Sur	Piagapo									Piagapo West District of Lanao del Sur - IB Schools Division, Department of Education	7.438918	124.300734	true	medium
133467	NPC-Salam Central Elementary School			1980	367	346	1	Autonomous Region in Muslim Mindanao	Lanao del Sur	Saguiaran									Saguiaran III District of Lanao del Sur - IB Schools Division, Department of Education	8.056666	124.233887	true	medium
133470	Pawak Elementary School			1970	274	277	1	Autonomous Region in Muslim Mindanao	Lanao del Sur	Saguiaran									Saguiaran III District of Lanao del Sur - IB Schools Division, Department of Education	8.049722	124.265833	true	medium
318221	Bacayawan National High School			2003-09-01	405	337	2-3	Autonomous Region in Muslim Mindanao	Lanao del Sur	Sultan Dumalondong									Sultan Dumalondong District of Lanao del Sur - IIA Schools Division, Department of Education	7.677778	124.267777	false	medium
133490	Tatayawan Elementary School			2002	806	555	1	Autonomous Region in Muslim Mindanao	Lanao del Sur	Tamparan									Tamparan District Lanao del Sur - IA Schools Division, Department of Education	7.879	124.333	true	medium
133851	Kapatagan Elementary School			2002	516	387	1	Autonomous Region in Muslim Mindanao	Lanao del Sur	Tugaya									East Tugaya District of Lanao del Sur - IIA Schools Division, Department of Education	7.722684	125.805183	true	medium
